    MCFM FCFF MOPLM FOPLF AGEM MRMM FRMF MWORK MFCM FFCF
536 6.09 4.45     2     4    0    1    0     0    1    1
537 3.73 4.36     3     1    0    1    1     0    1    1
538 4.91 5.70     4     6    1    1    0     1    0    1
539 4.36 5.73     4     5    0    1    1     1    1    0
540 4.09 4.91     4     6    1    0    0     1    0    1
541 4.73 5.55     5     3    0    1    1     1    1    0
542 4.27 3.73     2     2    0    1    0     0    1    0
543 4.36 4.64     1     2    0    0    0     0    0    0
544 3.64 4.36     2     2    0    1    1     1    0    0
545 3.82 3.91     6     7    1    0    0     1    1    1
546 5.00 3.91     2     4    1    1    1     1    0    1
547 2.90 4.27     3     3    0    0    0     0    0    0
548 5.18 5.36     3     3    1    1    1     0    0    0
549 3.82 3.91     5     6    0    1    0     0    1    0
550 3.73 3.73     6     6    1    0    0     1    1    0
551 4.64 3.91     4     6    0    0    1     0    1    0
552 1.64 3.18     6     6    1    0    0     1    0    0
553 3.64 4.82     2     3    1    0    1     0    1    1
554 3.73 3.18     2     5    1    0    0     0    1    0
555 4.50 4.64     5     3    1    0    0     1    1    1
556 3.73 4.09     5     7    0    0    1     0    0    1
557 5.45 4.55     6     7    1    1    1     0    1    1
558 5.36 5.00     3     3    0    0    0     1    1    1
559 4.70 4.27     7     7    0    0    0     0    0    0
560 5.00 3.36     2     2    1    1    0     0    0    0
561 4.09 4.55     7     7    0    0    1     0    1    1
562 4.09 2.82     3     4    0    0    0     0    1    0
563 5.18 4.82     2     2    1    1    1     1    1    0
564 5.36 5.00     5     7    1    1    0     0    0    1
565 5.64 4.00     7     7    0    1    1     1    0    0
566 5.73 3.64     6     7    0    0    0     1    1    1
567 3.82 4.00     4     4    1    0    0     0    0    1
568 4.82 5.18     2     2    0    1    1     0    1    1
569 5.00 5.45     1     2    1    1    1     0    1    0
570 4.11 5.82     1     2    1    1    1     0    1    1
571 4.82 5.73     6     1    0    1    0     0    1    1
572 4.64 5.55     3     2    1    0    0     1    0    0
573 3.55 5.18     2     6    0    0    1     1    1    0
574 4.82 5.36     2     2    1    0    1     0    0    0
575 4.00 3.60     5     6    1    0    0     1    1    1
576 2.82 3.55     2     4    0    0    0     1    1    0
577 3.64 2.80     4     6    0    0    1     0    1    1
578 4.27 4.82     1     4    1    1    1     0    0    0
579 4.55 4.09     2     4    0    1    0     0    1    0
580 5.20 5.73     3     3    0    0    1     0    1    0
581 6.73 6.30     2     2    0    0    1     0    1    1
582 3.18 4.45     7     7    0    0    1     0    0    1
583 5.20 5.10     1     2    0    0    1     0    1    0
584 5.73 5.18     1     2    0    1    1     0    1    0
585 5.36 6.18     1     2    0    1    1     1    0    1
586 4.73 4.00     2     1    1    1    0     0    1    0
587 2.18 3.27     2     1    1    0    0     1    0    0
588 5.36 4.45     3     2    1    1    1     0    0    0
589 4.55 4.55     1     2    1    1    1     0    1    1
